	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
42	3.5460e-02	1.8870e-02	1.0304e-02	1.8262e-02	1.3065e-02	8.1884e-03	7.6118e-03	3.8241e-03	3.1378e-03	6.0697e-02	3.0356e-02	1.8274e-02	7.0850e-01	4.0005e-01	2.0718e-01	1.3322e-01	8.2573e-02	4.4534e-02	6.0290e-02	3.4910e-02	2.2698e-02	2.2367e-01	1.4347e-01	8.8132e-02
44	2.9996e-02	1.5032e-02	7.1864e-03	1.5186e-02	1.0687e-02	6.1386e-03	7.2649e-03	3.9518e-03	3.3409e-03	5.6695e-02	2.8258e-02	1.7808e-02	6.5496e-01	3.7244e-01	2.0182e-01	1.2416e-01	7.7190e-02	4.3888e-02	5.5322e-02	3.3327e-02	2.2916e-02	2.1428e-01	1.3637e-01	8.2527e-02
46	2.5652e-02	1.2745e-02	7.1557e-03	1.2791e-02	9.0314e-03	5.9900e-03	6.7623e-03	3.6872e-03	3.0416e-03	4.9859e-02	2.4402e-02	1.5190e-02	6.1596e-01	3.5454e-01	2.1275e-01	1.1592e-01	7.1688e-02	4.2650e-02	5.3921e-02	3.3996e-02	2.4474e-02	2.0657e-01	1.3129e-01	7.8795e-02
48	2.5146e-02	1.3872e-02	8.5523e-03	1.3201e-02	8.9574e-03	6.9870e-03	6.1575e-03	3.3184e-03	2.9316e-03	4.3424e-02	2.0545e-02	1.2361e-02	5.8610e-01	3.4324e-01	2.0597e-01	1.0875e-01	6.7499e-02	4.1405e-02	5.2436e-02	3.3691e-02	2.4393e-02	1.9892e-01	1.2464e-01	7.4371e-02
50	2.6158e-02	1.4453e-02	8.1031e-03	1.3960e-02	9.3461e-03	6.6776e-03	5.9172e-03	3.5442e-03	3.3832e-03	3.7465e-02	1.7919e-02	9.9318e-03	5.7204e-01	3.4044e-01	1.8354e-01	1.0263e-01	6.3465e-02	3.8383e-02	4.9228e-02	3.1602e-02	2.2584e-02	1.8821e-01	1.1640e-01	6.9011e-02
52	2.4193e-02	1.2367e-02	6.2943e-03	1.3440e-02	8.8944e-03	5.4215e-03	5.9617e-03	3.9422e-03	4.0130e-03	3.3942e-02	1.6382e-02	8.6510e-03	5.5233e-01	3.2326e-01	1.6169e-01	9.8079e-02	5.9797e-02	3.4361e-02	4.5398e-02	2.9045e-02	2.0410e-02	1.7687e-01	1.0874e-01	6.2013e-02
54	2.0199e-02	9.1260e-03	4.0604e-03	1.1461e-02	7.5795e-03	4.2717e-03	5.8920e-03	3.9398e-03	4.1032e-03	3.1904e-02	1.5089e-02	7.8689e-03	5.1757e-01	2.9295e-01	1.3641e-01	9.4165e-02	5.5731e-02	3.0905e-02	4.2127e-02	2.6597e-02	1.8430e-02	1.6962e-01	1.0349e-01	5.4979e-02
56	1.6661e-02	7.1338e-03	4.0385e-03	9.8655e-03	6.5018e-03	3.8503e-03	5.3626e-03	3.3863e-03	3.5576e-03	2.9331e-02	1.4335e-02	8.1101e-03	4.7691e-01	2.5523e-01	1.2766e-01	8.8467e-02	5.1169e-02	2.7329e-02	3.8953e-02	2.4121e-02	1.6687e-02	1.6375e-01	9.8341e-02	5.0295e-02
58	1.6403e-02	8.4551e-03	5.7875e-03	9.6110e-03	6.6121e-03	5.0876e-03	4.6710e-03	2.6089e-03	2.8002e-03	2.7821e-02	1.4794e-02	9.2981e-03	4.3473e-01	2.4078e-01	1.2737e-01	8.4054e-02	4.8009e-02	2.6077e-02	3.6403e-02	2.2296e-02	1.5180e-02	1.5696e-01	9.2709e-02	4.4863e-02
60	1.8328e-02	1.0452e-02	6.5127e-03	9.9430e-03	7.0108e-03	5.7209e-03	4.2088e-03	2.2422e-03	2.4734e-03	2.7316e-02	1.5411e-02	1.0642e-02	4.2274e-01	2.4157e-01	1.2717e-01	8.0776e-02	4.6008e-02	2.5333e-02	3.4986e-02	2.1657e-02	1.4665e-02	1.4970e-01	8.6882e-02	3.9914e-02
62	1.9717e-02	1.1732e-02	6.8844e-03	1.0342e-02	7.4342e-03	5.9898e-03	4.3045e-03	2.6841e-03	2.9948e-03	2.6651e-02	1.5221e-02	1.0701e-02	4.1143e-01	2.3974e-01	1.2138e-01	7.5196e-02	4.3754e-02	2.4315e-02	3.3611e-02	2.1332e-02	1.4439e-02	1.4059e-01	8.0591e-02	3.5789e-02
64	2.0418e-02	1.2455e-02	7.7226e-03	1.0501e-02	7.6348e-03	6.2183e-03	4.7990e-03	3.3638e-03	3.6110e-03	2.5346e-02	1.4215e-02	9.4737e-03	3.8423e-01	2.1973e-01	1.1576e-01	7.1088e-02	4.0275e-02	2.2647e-02	3.1495e-02	2.0333e-02	1.3434e-02	1.3100e-01	7.6078e-02	3.2356e-02
66	2.0460e-02	1.2736e-02	8.4641e-03	1.0142e-02	7.5308e-03	6.3721e-03	5.2134e-03	3.9178e-03	4.0219e-03	2.3634e-02	1.2735e-02	8.1491e-03	3.5826e-01	1.9474e-01	1.0099e-01	6.6363e-02	3.7293e-02	2.0344e-02	2.9437e-02	1.9062e-02	1.2460e-02	1.2427e-01	7.2810e-02	3.0454e-02
68	1.9248e-02	1.2119e-02	8.5853e-03	9.4184e-03	7.0412e-03	5.9911e-03	5.3660e-03	4.1609e-03	4.1866e-03	2.1828e-02	1.1326e-02	6.8085e-03	3.3425e-01	1.8057e-01	9.2102e-02	6.1556e-02	3.3719e-02	1.7696e-02	2.8537e-02	1.8416e-02	1.1828e-02	1.1982e-01	6.9332e-02	2.7988e-02
70	1.6947e-02	1.0413e-02	7.9265e-03	8.1102e-03	6.0431e-03	5.2661e-03	5.2747e-03	4.0987e-03	4.1084e-03	2.0522e-02	1.0338e-02	6.2138e-03	3.2131e-01	1.7508e-01	8.6525e-02	5.8725e-02	3.1304e-02	1.5829e-02	2.8410e-02	1.8122e-02	1.1303e-02	1.1549e-01	6.5595e-02	2.4940e-02
